,year,time,isCloudy,temp
160,20220410,082600,False,-40.6
161,20221201,123600,True,-26.3
162,20220510,100200,True,-18.7
163,20221024,045800,True,-13.1
164,20220929,025600,True,-18.900000000000002
165,20220330,061800,True,-14.899999999999999
166,20221212,093000,True,-1.2999999999999998
167,20220425,065600,False,-35.4
168,20220920,090600,False,-30.3
169,20220404,034600,True,-25.1
170,20220318,085800,False,-33.3
171,20220221,042400,True,-16.0
172,20221104,085800,False,-30.500000000000004
173,20220412,093800,True,-0.5999999999999996
174,20220423,070400,True,-19.7
175,20220908,074600,True,-19.200000000000003
176,20220311,030800,True,-15.9
177,20221026,054600,True,-27.599999999999998
178,20221221,061200,True,-1.0
179,20220315,034400,True,-24.7
180,20220913,062400,False,-32.0
181,20221212,013600,True,-3.3
182,20220213,123400,False,-34.9
